matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUN1_3567752733,1,-3,5,1,0,0,0,9,-301,249,-25903,3054,-1202,1
EUN1_3567646257,0,-7,-8,2,-1,-4,0,9,-371,236,-36790,-4590,-14825,0
EUN1_3567629312,1,-23,3,-2,0,1,0,4,-332,274,-24948,-1792,3785,0
EUN1_3575848799,-1,-3,-7,-2,0,-2,0,10,-376,217,-32407,-6672,-9638,0
EUN1_3573166303,2,1,-8,-2,-1,0,0,2,-343,232,-27870,-5925,-1592,1
EUN1_3573136827,7,54,1,1,0,1,0,8,-369,266,-27664,-2495,-1965,0
EUN1_3573132316,0,0,-4,-1,-1,-3,0,5,-340,164,-32275,-2531,-14736,0
EUN1_3573113428,-3,-4,-10,-1,0,-1,0,11,-350,185,-29360,-7254,-6371,0
EUN1_3573090892,-3,-5,-6,-2,0,0,0,3,-352,208,-27860,-5329,-7671,0
EUN1_3573071841,-4,9,-6,0,1,0,0,3,-289,201,-30767,1504,-19216,0
EUN1_3572087102,1,-30,-6,0,0,-1,0,7,-411,251,-29137,-8415,-4551,0
EUN1_3572066275,5,-33,8,-1,0,0,0,-1,-332,257,-27787,3095,-7846,1
EUN1_3572037988,1,7,-17,1,0,0,0,4,-334,215,-32337,-5937,-15382,1
EUN1_3572018883,2,-188,-5,-2,0,0,0,3,-358,305,-26254,-4685,3906,1
EUN1_3571997885,-4,8,4,0,0,0,0,1,-374,261,-24709,-2875,9078,0
EUN1_3571702729,3,2,-7,0,0,-1,0,7,-325,179,-27700,-4376,-13154,0
EUN1_3575948047,-1,2,6,0,0,-1,0,9,-288,241,-24831,3754,6362,0
EUN1_3574818139,2,-1,1,0,0,0,0,3,-324,198,-25657,-2202,-3885,0
EUN1_3574794862,-1,13,-9,2,0,-1,0,7,-351,219,-30069,-8904,-17775,0
EUN1_3574786309,-2,-2,0,0,0,0,0,7,-346,248,-26965,-762,3071,0
EUN1_3574772415,3,32,-3,-2,0,-1,0,11,-340,195,-26873,-6632,-3431,0
EUN1_3574757112,0,-7,-7,0,0,-1,0,6,-312,259,-28621,-1754,-18936,1
EUN1_3574726514,3,2,0,0,-1,-1,0,8,-344,291,-28747,-457,252,1
EUN1_3574625428,1,1,13,1,0,0,0,-1,-323,256,-23248,2422,7883,0
EUN1_3574261359,1,-4,8,-1,0,1,0,-2,-328,221,-25768,1987,-7183,1
EUN1_3574131007,-2,-15,4,1,0,1,0,2,-305,299,-26605,-1631,-4938,0
EUN1_3574118145,-1,-3,-5,0,0,-1,0,7,-369,209,-28257,-6634,-5312,1
EUN1_3567249868,-1,-2,2,1,0,0,0,0,-287,262,-25976,506,-1827,0
EUN1_3566151097,-1,-1,3,0,0,1,0,4,-337,258,-26241,1239,-1172,1
